VehicleKey,VehicleID,VehicleBodyType,VehicleDamageExtent,VehicleMovement,SpeedLimit,DriverlessVehicle,ParkedVehicle,VehicleYear,EquipmentProblem
1,AF0DBBDA-0CA4-4391-A1A7-32A0CC0B7056,PASSENGER CAR,SUPERFICIAL,MOVING CONSTANT SPEED,35,No,No,2012,N/A
2,E073D1A1-3372-4F13-929F-3C03CAE1FC3A,PASSENGER CAR,NO DAMAGE,STOPPED IN TRAFFIC LANE,30,No,No,2011,N/A
3,E9EA56B2-5BC4-4C5D-897F-7AF61F81BB20,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,50,No,No,2007,UNKNOWN
4,2D243682-B511-4E32-B1E0-09E4AE01DF3B,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2011,NO MISUSE
5,6481672B-42CC-4D0C-BD0A-D8D3AFEF4A3B,PASSENGER CAR,FUNCTIONAL,STARTING FROM PARKED,10,No,No,2017,UNKNOWN
6,E9925348-D629-47E9-86CB-1DD51B717062,PICKUP TRUCK,DISABLING,MOVING CONSTANT SPEED,30,No,No,2004,NO MISUSE
7,D4BB7B68-A4D7-4564-99B7-6F353DD36D89,VAN,SUPERFICIAL,CHANGING LANES,45,No,No,2011,NO MISUSE
8,49C14A6E-0E26-4A89-AB16-4C937E248415,NULL,UNKNOWN,MOVING CONSTANT SPEED,30,No,No,0,UNKNOWN
9,09BA917C-00E6-440E-B71D-E6B3A8C7F20E,PASSENGER CAR,SUPERFICIAL,BACKING,10,No,No,2004,NO MISUSE
10,3D102CA9-6A0E-4ED3-A45C-D75AD901A9B2,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2015,UNKNOWN
11,D792EAA1-DCC6-4BDA-81EF-73BC7B7DD12B,PASSENGER CAR,SUPERFICIAL,BACKING,15,No,No,2004,NO MISUSE
12,3A664E0E-BCC3-497D-A228-C2C166BD583B,PASSENGER CAR,SUPERFICIAL,STOPPED IN TRAFFIC LANE,30,No,No,2015,NO MISUSE
13,51D05D98-7CFE-4E54-AF9A-1A9ECF97680F,PASSENGER CAR,FUNCTIONAL,MAKING LEFT TURN,25,No,No,2010,N/A
14,98E15763-5A45-4A73-AE48-6BEC0BAE6C61,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2006,NO MISUSE
15,DDCDCD48-5755-47E7-9769-7CD94005E701,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2006,N/A
16,C1078F8A-64BB-4A32-A9EA-B3FBB75F483E,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,45,No,No,2012,N/A
17,AA597E82-0520-498E-B175-B4CFB6DAD664,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,45,No,No,2013,NO MISUSE
18,BA3394C6-5A82-4C03-AAF7-F8749A31103B,(SPORT) UTILITY VEHICLE,SUPERFICIAL,STOPPED IN TRAFFIC LANE,35,No,No,2005,N/A
19,4569E587-8BA8-4213-B737-75EFA5831D2D,PICKUP TRUCK,SUPERFICIAL,MOVING CONSTANT SPEED,35,No,No,2001,N/A
20,A9C1ADD8-AB1E-4135-94A4-CC634D7C0E94,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2001,NO MISUSE
21,F835C9EA-2A0F-4C92-B125-EBC6AA3D603B,SCHOOL BUS,NO DAMAGE,BACKING,5,No,No,2007,N/A
22,C9341C58-F75F-4D25-806F-CCBAD8924A2E,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,30,No,No,2007,NO MISUSE
23,2ABCE9C6-6340-43D9-8E8A-67B6838E6340,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,50,Unknown,No,2000,NO MISUSE
24,1766A4BD-6034-4991-AEA4-51085AFEC14B,PASSENGER CAR,FUNCTIONAL,PARKING,0,No,No,2015,N/A
25,2D7C83C8-A5EB-4303-9C67-3D6E7656A129,VAN,FUNCTIONAL,MOVING CONSTANT SPEED,30,No,No,2012,N/A
26,CC802989-8018-46A6-B66C-4A8C7DCEA2AA,(SPORT) UTILITY VEHICLE,FUNCTIONAL,MOVING CONSTANT SPEED,35,No,No,0,UNKNOWN
27,AE90EB41-D2D3-4A92-BC38-5DCB82EA4827,PASSENGER CAR,DISABLING,MAKING LEFT TURN,0,No,No,1998,NO MISUSE
28,D5BCB8FA-9DDB-4A05-8931-9CAC6BDA8798,(SPORT) UTILITY VEHICLE,DISABLING,MOVING CONSTANT SPEED,35,No,No,2004,NO MISUSE
29,A919BC50-9426-4536-BA55-F891B41E9BDF,(SPORT) UTILITY VEHICLE,N/A,MAKING LEFT TURN,35,No,No,2015,NO MISUSE
30,F2DA33C2-F371-4AA3-BCE8-66FE2C92D321,(SPORT) UTILITY VEHICLE,FUNCTIONAL,MAKING LEFT TURN,35,No,No,2004,N/A
31,0F10158F-AEEC-4673-8F54-2B5DD40F7E31,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,35,No,No,2006,NO MISUSE
32,3D6D4E59-C587-42AB-AD72-6309B012E608,PASSENGER CAR,FUNCTIONAL,MAKING LEFT TURN,40,No,No,2007,N/A
33,D5B00CB9-88E1-45F0-9434-CA1EB04ABDD5,PASSENGER CAR,SUPERFICIAL,STOPPED IN TRAFFIC LANE,35,No,No,2010,NO MISUSE
34,3DD68285-1110-4EA6-8A70-79321E24737F,PASSENGER CAR,DISABLING,MAKING LEFT TURN,35,No,No,2008,N/A
35,F140A44E-33EB-4D8F-840A-164C41FC452A,PASSENGER CAR,DESTROYED,MOVING CONSTANT SPEED,30,No,No,2012,UNKNOWN
36,CE6B6474-8A30-4D95-A50F-A523A714C2A4,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,55,No,No,2007,NO MISUSE
37,1423E913-25DF-41EA-800D-C164DB4D992A,PASSENGER CAR,FUNCTIONAL,MOVING CONSTANT SPEED,35,No,No,2014,N/A
38,DCBE4A80-7937-4227-8C20-702AAFEA33F6,PASSENGER CAR,SUPERFICIAL,MOVING CONSTANT SPEED,45,No,No,2014,N/A
39,AD515C71-3619-4A0E-A5A7-C4344B642C82,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,55,No,No,2005,NO MISUSE
40,7C596124-750C-4D44-957D-88E8E977222C,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",NO DAMAGE,PASSING,15,No,No,2004,N/A
41,337920CC-FCCE-4A83-BA50-C2D033F9EDE9,PICKUP TRUCK,FUNCTIONAL,MOVING CONSTANT SPEED,30,No,No,2006,N/A
42,157C5626-224A-413E-9137-DFC036165BF5,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,50,No,No,2011,N/A
43,C362C5E7-9F2C-4AB1-AAC6-AE690BAA20F1,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2003,N/A
44,223BD35B-FD75-448E-87A7-B424D355C952,STATION WAGON,DISABLING,ACCELERATING,15,No,No,1990,N/A
45,05ADCB5B-B61F-45B9-BA70-9783A957480D,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,30,No,No,2012,N/A
46,A2349620-2331-49A5-83E7-60162E1FCB69,PASSENGER CAR,FUNCTIONAL,PARKED,10,No,Yes,2007,N/A
47,CE74B6C6-4FF4-41F6-96B0-3057419527C4,PICKUP TRUCK,FUNCTIONAL,MOVING CONSTANT SPEED,35,No,No,2001,NO MISUSE
48,AD7286F9-7EA7-4F09-8A89-7217BC82322C,PASSENGER CAR,DISABLING,STOPPED IN TRAFFIC LANE,45,No,No,2003,NO MISUSE
49,D8418318-9815-4DFB-B1CC-2649C260E81C,PASSENGER CAR,NO DAMAGE,MAKING LEFT TURN,15,No,No,2003,UNKNOWN
50,56B553EA-A3F3-44B2-9F7E-C868B59FCE5A,POLICE VEHICLE NON EMERGENCY,SUPERFICIAL,PARKING,25,No,No,2005,N/A
51,9804FB4B-F574-44AF-8920-181DF03217B1,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,30,No,No,2010,N/A
52,DE6C892F-C78F-4FF2-B192-EBD6C6141C65,PASSENGER CAR,DISABLING,SLOWING OR STOPPING,35,No,No,2013,NO MISUSE
53,E82CE9B5-5F29-43B9-82A3-D7676E5B679D,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,30,No,No,2005,N/A
54,8B2B5D2A-02A3-4294-A0C2-F6D3C15A38E4,PASSENGER CAR,DISABLING,MAKING LEFT TURN,30,No,No,2011,NO MISUSE
55,9CDF3410-ED3E-4FD0-9793-EF12DC5D37F0,PASSENGER CAR,FUNCTIONAL,STOPPED IN TRAFFIC LANE,40,No,No,2006,N/A
56,11FDD2B1-4B4F-4FC1-A987-66DCA6DA4A95,PASSENGER CAR,DISABLING,MAKING LEFT TURN,40,No,No,2005,N/A
57,EB329298-6C90-4AEF-BFEF-D946D9E4C772,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,35,No,No,2000,N/A
58,3BC24FB1-6CC4-4E29-8CAA-37BA88C489CB,PASSENGER CAR,SUPERFICIAL,PARKING,15,No,No,2013,N/A
59,EF1220C1-0516-4F82-80B2-1C2CA20097AD,PASSENGER CAR,FUNCTIONAL,MOVING CONSTANT SPEED,25,No,No,2014,N/A
60,45FB1140-23FA-4A18-832B-6CC327446A2B,(SPORT) UTILITY VEHICLE,FUNCTIONAL,MOVING CONSTANT SPEED,25,No,No,2014,NO MISUSE
61,18AF44CC-C9C9-47CD-84B0-79C3669DEE55,PASSENGER CAR,FUNCTIONAL,MOVING CONSTANT SPEED,25,No,No,1996,NO MISUSE
62,6988CD78-9648-4317-BE8F-7C4F7D5A1B17,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2009,NO MISUSE
63,97F72891-FC62-45CE-9DF0-F23A4773F71F,PASSENGER CAR,FUNCTIONAL,STOPPED IN TRAFFIC LANE,40,No,No,2015,NO MISUSE
64,7FFF8CF9-13A7-458F-9410-257E9B73EA31,PASSENGER CAR,SUPERFICIAL,STOPPED IN TRAFFIC LANE,35,No,No,2007,NO MISUSE
65,3F054FD7-5BAB-448F-A217-EB90466E036B,PASSENGER CAR,FUNCTIONAL,ACCELERATING,25,No,No,2012,N/A
66,508A6702-A24B-4DD7-95B1-506BE97B6473,PASSENGER CAR,SUPERFICIAL,MAKING LEFT TURN,5,No,No,2009,NO MISUSE
67,3DFB80FA-3019-4F0C-84F1-E5F711F9F15B,PASSENGER CAR,DISABLING,N/A,45,No,No,1999,N/A
68,AA1AE0D6-C050-439E-A477-2597421E01E3,TRANSIT BUS,NO DAMAGE,MOVING CONSTANT SPEED,30,No,No,2007,N/A
69,42B251D8-AAA5-450E-BDFD-39774A7936A5,PASSENGER CAR,DISABLING,ACCELERATING,25,No,No,2012,UNKNOWN
70,B8B6E63E-06BB-4E9B-BA09-079CDB0D10A0,PASSENGER CAR,FUNCTIONAL,MAKING LEFT TURN,40,No,No,2009,N/A
71,1A388A25-4BBE-4CF7-BE03-C86792B2D92A,PASSENGER CAR,SUPERFICIAL,SLOWING OR STOPPING,35,No,No,2013,NO MISUSE
72,B8B9F6BB-8E72-4D19-BA77-4C8997A666CC,(SPORT) UTILITY VEHICLE,DISABLING,MAKING LEFT TURN,40,No,No,2008,N/A
73,E638CC1B-928B-4640-9397-A223DF2F3663,PASSENGER CAR,DISABLING,SKIDDING,35,No,No,2004,NO MISUSE
74,98C31A95-439C-452C-83E3-A2A833DCB198,VAN,DISABLING,SLOWING OR STOPPING,35,No,No,2000,N/A
75,180B9C80-A26E-415C-A4B3-2072669826EE,PASSENGER CAR,DESTROYED,MOVING CONSTANT SPEED,40,No,No,2002,NO MISUSE
76,D22C8977-A9DC-48F6-AE24-5620BFB1E2D1,PASSENGER CAR,FUNCTIONAL,MOVING CONSTANT SPEED,50,No,No,2003,N/A
77,2D2C7668-8905-4649-89E4-8DADE30AD8A2,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,25,No,No,2007,N/A
78,587EE579-4EE6-4A08-A7DE-9C1378099660,SCHOOL BUS,SUPERFICIAL,MAKING RIGHT TURN,30,No,No,2012,N/A
79,77EB74F9-A01A-41F3-A280-F2F4D359142B,PASSENGER CAR,DISABLING,ACCELERATING,30,No,No,2011,NO MISUSE
80,81196B57-2700-4156-9D8F-5380E6439BA1,PASSENGER CAR,SUPERFICIAL,SLOWING OR STOPPING,40,Unknown,No,2013,NO MISUSE
81,5EA46CC5-1A59-450B-9377-5A471728F74F,VAN,FUNCTIONAL,MOVING CONSTANT SPEED,35,No,No,2000,NO MISUSE
82,F0908905-4182-4E66-A64E-F4C735425F32,"MEDIUM HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",UNKNOWN,UNKNOWN,55,No,No,0,UNKNOWN
83,6EF77385-06BC-4F62-9013-9202D451F09F,PICKUP TRUCK,DISABLING,MOVING CONSTANT SPEED,40,No,No,2000,N/A
84,AB323F39-2CCE-4EAB-8072-1BB573CA0CAF,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",DISABLING,ACCELERATING,25,No,No,1992,N/A
85,76F3B2AB-874D-4DFD-8E0F-F2B0DE50AF39,(SPORT) UTILITY VEHICLE,DISABLING,MAKING LEFT TURN,25,No,No,2013,NO MISUSE
86,3D4028AC-C3DB-4EB9-B27F-69262DEB7B22,PASSENGER CAR,DISABLING,STOPPED IN TRAFFIC LANE,40,No,No,2008,NO MISUSE
87,1FB8351E-170D-4C7E-AA43-A18FA6AB0257,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,35,No,No,2009,NO MISUSE
88,E7B9BA6A-41F4-4A63-B0E6-3A004442A4F1,PASSENGER CAR,FUNCTIONAL,SLOWING OR STOPPING,40,No,No,2005,N/A
89,C27EAF4C-E90A-4D59-911B-A9B0732E99AA,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",DISABLING,STARTING FROM LANE,35,No,No,2003,N/A
90,2E7337A6-6861-42B7-9F43-B4839A30F47B,STATION WAGON,FUNCTIONAL,MOVING CONSTANT SPEED,45,No,No,2004,NO MISUSE
91,1CC330EF-2245-4D60-8D25-BAFF81D4DA9A,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,50,No,No,1999,NO MISUSE
92,5F8C8988-34C7-4987-9049-C064F70AC5D1,PASSENGER CAR,DISABLING,ACCELERATING,20,No,No,1993,NO MISUSE
93,CE9F740F-B03C-4D9C-B32B-6E6494521040,PASSENGER CAR,SUPERFICIAL,SLOWING OR STOPPING,45,No,No,2005,NO MISUSE
94,6070C9F6-D8FF-4C70-B71F-E2120C3B15A1,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,35,No,No,2011,N/A
95,9A14B861-D7BA-43A2-A256-706EB04760D6,PASSENGER CAR,DISABLING,MAKING LEFT TURN,40,No,No,2012,NO MISUSE
96,734CFA99-FA76-445C-AB36-30419FBB4563,PASSENGER CAR,SUPERFICIAL,BACKING,5,No,No,2014,NO MISUSE
97,AE81E017-4468-449D-B229-3AD5D1B593E9,POLICE VEHICLE EMERGENCY,SUPERFICIAL,MOVING CONSTANT SPEED,40,No,No,2012,NO MISUSE
98,500EEEB2-3769-43C0-A3D0-FBC904B0E6F4,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,35,No,No,2008,NO MISUSE
99,3B90EC0D-FD6A-467C-B2DA-263B74E6FA74,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",DISABLING,STARTING FROM LANE,35,No,No,2003,N/A
100,AF6E2E4B-83C3-4093-B498-B8091AF8D713,(SPORT) UTILITY VEHICLE,FUNCTIONAL,MAKING RIGHT TURN,45,No,No,2008,NO MISUSE